Дата;Краткое название;Тип ОО;МО;Субъект;Код региона;Ссылка;ID организации;Активна;Учителей и учеников в школе всего;Учителей в школе всего;Учеников в школе всего;Регистраций в школе всего;Учителей зарегистрировано в Сферум;Кол-во учителей, связавших аккаунты ЭЖД;Учеников зарегистрировано в Сферум;Кол-во учеников, связавших аккаунты ЭЖД;Активные ученики;ИНН;Кол-во активных учителей;Кол-во учителей, совершивших минимум 1 звонок за неделю
2024-11-04;МБОУ Средняя школа № 34;Общеобразовательная организация;г.о. Петропавловск-Камчатский;Камчатский край;41;https://sferum.ru/?p=school&schoolId=208321426;208321426;Активна;532;35;497;146;40;3;106;9;34;4100004856;24;8
2024-11-01;МБОУ Средняя школа № 34;Общеобразовательная организация;г.о. Петропавловск-Камчатский;Камчатский край;41;https://sferum.ru/?p=school&schoolId=208321426;208321426;Активна;532;35;497;139;40;3;99;9;23;4100004856;22;8
2024-11-03;МБОУ Средняя школа № 34;Общеобразовательная организация;г.о. Петропавловск-Камчатский;Камчатский край;41;https://sferum.ru/?p=school&schoolId=208321426;208321426;Активна;532;35;497;142;40;3;102;9;29;4100004856;24;8
2024-11-05;МБОУ Средняя школа № 34;Общеобразовательная организация;г.о. Петропавловск-Камчатский;Камчатский край;41;https://sferum.ru/?p=school&schoolId=208321426;208321426;Активна;532;35;497;184;40;3;144;49;64;4100004856;24;6
2024-11-06;МБОУ Средняя школа № 34;Общеобразовательная организация;г.о. Петропавловск-Камчатский;Камчатский край;41;https://sferum.ru/?p=school&schoolId=208321426;208321426;Активна;532;35;497;182;40;3;142;49;71;4100004856;24;5
2024-11-02;МБОУ Средняя школа № 34;Общеобразовательная организация;г.о. Петропавловск-Камчатский;Камчатский край;41;https://sferum.ru/?p=school&schoolId=208321426;208321426;Активна;532;35;497;139;40;3;99;9;25;4100004856;24;8
